,xEntropy,yEntropy,condition
0,0.04540484551282052,0.0307528401025641,EOFT
1,0.26970117797435894,0.21302675848717947,ECFTanDF
2,0.16335086076923075,0.1406518255897436,ECFTanDB
3,0.11421101594871794,0.06400532869230768,EOFTanDB
4,0.13990848764102565,0.10325299843589744,EOFTanDB
5,0.22928169474358973,0.2283737554615385,ECFTanDF
6,0.04727524312820512,0.03998085953846154,ECFT
7,0.1388600187179487,0.13220554902564102,EOFTanDF
8,0.042901578487179494,0.0357205418974359,EOFT
9,0.19656876515384614,0.16414580882051283,EOFTanDF
10,0.1667772068205128,0.13405599874358975,ECFTanDB
11,0.0593208053076923,0.043967319461538465,ECFT
12,0.1570581518974359,0.09806134723076923,EOFTanDB
13,0.05520605815384616,0.0455542453076923,ECFT
14,0.2142700227179487,0.16737281474358973,ECFTanDB
15,0.21446900912820516,0.19855948064102566,ECFTanDF
16,0.03968659935897435,0.032098552,EOFT
17,0.13519829353846152,0.11179597630769234,EOFTanDF
18,0.049895543794871794,0.040601009282051286,ECFT
19,0.21997396997435897,0.19428688887179482,ECFTanDF
20,0.16315578512820514,0.10954517030769231,EOFTanDF
21,0.047540928051282044,0.035614951179487174,EOFT
22,0.2055054866923077,0.1529416611025641,ECFTanDB
23,0.15673916876923075,0.11232577135897437,EOFTanDB
24,0.24017009361538463,0.18844110448717952,ECFTanDF
25,0.05773066484615384,0.05516208164102564,ECFT
26,0.04637649102564102,0.0449629271025641,EOFT
27,0.1572923946923077,0.10989308551282051,EOFTanDF
28,0.16540854471794872,0.14081820410256407,ECFTanDB
29,0.16324484658974361,0.10838710174358976,EOFTanDB
