,xEntropy,yEntropy,condition
0,0.14371702523076924,0.10671301174358974,EOFTanDB
1,0.2072004703076923,0.20628362982051285,ECFTanDB
2,0.23834797582051293,0.2189501326666667,ECFTanDF
3,0.051157028,0.04996677735897436,EOFT
4,0.04528330515384615,0.04041667120512821,EOFT
5,0.0894592724102564,0.09011900912820514,EOFTanDF
6,0.08768213441025641,0.09121531633333332,ECFT
7,0.220472429,0.21020946538461538,ECFTanDF
8,0.07980614094871795,0.07113362738461539,EOFTanDB
9,0.11398050725641025,0.09750995230769231,EOFTanDB
10,0.08727334894871794,0.10677212430769234,ECFT
11,0.20459056402564102,0.1955068747948718,ECFTanDB
12,0.11884757435897435,0.09583133517948718,EOFTanDF
13,0.09913216600000002,0.07723763869230768,EOFTanDF
14,0.053509556435897436,0.04247424197435897,EOFT
15,0.20336703753846153,0.20740609479487182,ECFTanDF
16,0.1796563474871795,0.18496884356410256,ECFTanDB
17,0.11919131151282052,0.1074898748974359,ECFT
18,0.04801078738461539,0.04762849305128204,EOFT
19,0.09597814105128204,0.09650375753846153,EOFTanDF
20,0.1952313806153846,0.19763883635897433,ECFTanDF
21,0.07431665341025642,0.06975071348717947,ECFT
22,0.10021729323076922,0.08525689441025641,EOFTanDB
23,0.16087985310256409,0.18533452833333333,ECFTanDB
24,0.10030427566666666,0.08359353771794871,EOFTanDF
25,0.0418245575897436,0.04699791328205128,EOFT
26,0.06741006515384616,0.0783539438974359,ECFT
27,0.18577314248717947,0.18353340817948718,ECFTanDF
28,0.13579323997435896,0.09042884664102563,EOFTanDB
29,0.18775569607692302,0.20062472184615385,ECFTanDB
