,xVelocity,yVelocity,xPower,yPower,condition
0,41.06113703269743,42.49971439136756,352327288312.58716,283025227752.4927,EOFT
1,499.51750357718277,234.09029830249187,17876588952398.426,10421438676771.854,ECFTanDF
2,110.11847568179905,132.08610226375933,2751959502289.563,3131470119878.628,ECFTanDB
3,123.7775236343274,76.23663282517079,1513166730163.1875,855531969153.6053,EOFTanDB
4,91.82483504497239,74.66070147521177,1971863364951.1577,1483792776877.5776,EOFTanDB
5,283.69233201218225,163.22027989556418,6876305910708.555,7959014792999.703,ECFTanDF
6,37.79619338346961,51.1515256727309,378778732304.2077,308816495472.34015,ECFT
7,98.6955598966997,102.02595504609913,2139049613112.7747,1989922060944.8613,EOFTanDF
8,49.52306549473543,47.0206562113189,371065931974.8741,374427445405.45953,EOFT
9,211.95753760871145,139.84933872178232,4799472668884.934,3244931529190.982,EOFTanDF
10,404.29615801595503,182.27279631735732,6391614331132.356,3977762383328.8804,ECFTanDB
11,60.080212927808816,44.289071857681634,657661752594.6217,437015154148.98224,ECFT
12,192.6362690982543,74.41374850209115,2924116199915.1455,1320817525393.784,EOFTanDB
13,51.72236155784342,59.27600678038374,624299602159.1951,542257824474.9597,ECFT
14,179.7630263094391,229.50580512222808,4827520563925.569,5554074403819.792,ECFTanDB
15,157.27561704454448,203.03429538046439,4844676937501.088,5444362986236.179,ECFTanDF
16,30.349677042356127,41.81075089040188,294071027652.3459,257539539167.5887,EOFT
17,128.69997589777057,105.99175714435587,2058794558604.0815,1767076207477.771,EOFTanDF
18,79.41137940363005,57.498638015875784,509048375077.3942,446872962776.81604,ECFT
19,157.8408811840794,193.9819602755695,4805997250546.714,5248032135179.723,ECFTanDF
20,114.0971015442693,85.04498200986772,2768980272716.7363,1637394401969.6824,EOFTanDF
21,75.8751026574914,40.62320037892053,444156570807.24115,307813756753.77856,EOFT
22,258.0765836454435,146.10957305904958,4971191913917.885,3815208288015.9155,ECFTanDB
23,117.53953470226304,66.49150682026097,2513792896267.289,1591090668887.6157,EOFTanDB
24,279.66622558313674,163.21286977542687,6741926606051.3,5994273527510.116,ECFTanDF
25,41.15523866439404,81.82369626837072,579940767915.1262,687210994904.2195,ECFT
26,66.50853379737477,34.37164840775325,379347661583.90564,367071236544.25574,EOFT
27,101.30917238791822,105.08682500612535,2586917961112.361,1739695309357.3884,EOFTanDF
28,126.65645942749352,106.24170337835194,3067908649323.8413,2927169044434.601,ECFTanDB
29,137.051244707962,98.70193302237847,2760528482046.752,1798414385947.6646,EOFTanDB
