,xEntropy,yEntropy,condition
0,0.053249952615384614,0.07253258233333335,ECFT
1,0.20253542541025643,0.16792963071794872,ECFTanDF
2,0.1465695306153846,0.16129318120512823,ECFTanDB
3,0.03432244046153846,0.03774663576923077,EOFT
4,0.09057451651282053,0.08446400515384618,EOFTanDF
5,0.15785764556410256,0.16143187325641026,ECFTanDB
6,0.12865157487179482,0.11190040651282053,EOFTanDF
7,0.04578529648717949,0.08431629076923076,ECFT
8,0.12354576328205127,0.10733386441025641,EOFTanDB
9,0.1965054754871795,0.19181271817948717,ECFTanDF
10,0.13563819658974355,0.09123842599999998,EOFTanDB
11,0.0428603872051282,0.05498382023076923,ECFT
12,0.09039600812820513,0.08745914815384614,EOFTanDF
13,0.026546018384615382,0.026171593769230766,EOFT
14,0.030024968153846157,0.03567599620512821,EOFT
15,0.12149171941025642,0.1498576337435897,ECFTanDB
16,0.14671695582051283,0.16439774330769227,ECFTanDF
17,0.101292888,0.10379191707692308,EOFTanDB
18,0.17633010148717945,0.19519066371794871,ECFTanDB
19,0.11425402733333333,0.09211179851282052,EOFTanDB
20,0.19732932482051282,0.1854295364871795,ECFTanDF
21,0.03595499015384615,0.04172086415384616,ECFT
22,0.03241849925641026,0.03864770541025641,EOFT
23,0.07425523074358975,0.08264216038461537,EOFTanDF
24,0.1474049957948718,0.16356967423076924,ECFTanDB
25,0.09351212069230769,0.09402342461538463,EOFTanDB
26,0.04018151797435897,0.05047646797435899,ECFT
27,0.1421970803846154,0.2085934057692308,ECFTanDF
28,0.0757082613846154,0.11416726871794872,EOFTanDF
29,0.03265237915384616,0.03934329761538461,EOFT
