SB02_Trial17,SB02_Trial2,SB02_Trial12,SB02_Trial7,SB02_Trial22,SB02_Trial31,SB05_Trial31,SB05_Trial22,SB05_Trial12,SB05_Trial7,SB05_Trial17,SB05_Trial2,SB04_Trial2,SB04_Trial17,SB04_Trial7,SB04_Trial12,SB04_Trial22,SB04_Trial31,SB06_Trial22,SB06_Trial31,SB06_Trial2,SB06_Trial17,SB06_Trial7,SB06_Trial12,SB08_Trial22,SB08_Trial31,SB08_Trial17,SB08_Trial2,SB08_Trial12,SB08_Trial7,SB01_Trial2,SB01_Trial17,SB01_Trial7,SB01_Trial12,SB01_Trial22,SB01_Trial31
0.216162389,2.480158985,-0.043315784,-1.097457743,1.053322898,0.61151144,-0.223022033,0.327994403,-1.339148662,2.228488944,1.026157865,0.273035781,0.294432754,0.764160921,1.587617039,1.023779951,3.66279521,0.773237744,-0.734255585,0.519445724,-0.410227972,1.331565542,-0.195369084,1.30868722,0.218071904,0.225324741,0.794597013,-1.237121264,0.725730267,-0.012325755,2.938228808,-1.612160026,-1.480121946,-0.905318411,-1.023375479,-0.082982657
0.20842999,2.482618134,-0.036282432,-1.048245109,1.039012679,0.626647812,-0.222730792,0.342714083,-1.347111487,2.228072553,1.014559082,0.285669979,0.260710331,0.768211114,1.616633368,1.024992313,3.62185136,0.761482279,-0.733418737,0.497998782,-0.413186332,1.338755684,-0.206839377,1.320726327,0.180684095,0.221004323,0.748515034,-1.234991967,0.717450975,-0.007512177,2.913145861,-1.578608108,-1.477309491,-0.903533593,-1.025906593,-0.113594529
0.200411206,2.484698952,-0.028878903,-0.999663407,1.02470246,0.641472094,-0.22214831,0.357311099,-1.354825474,2.22723977,1.002864443,0.298304176,0.227394202,0.772423315,1.645277692,1.026406736,3.581301202,0.749910493,-0.732372678,0.476696753,-0.415947469,1.345603438,-0.218135879,1.332538281,0.143610468,0.216539892,0.702780844,-1.232507788,0.709401663,-0.002698599,2.888062914,-1.545446328,-1.474697926,-0.901586519,-1.028156472,-0.14367861
0.19224923,2.486968935,-0.021845551,-0.951712635,1.010825883,0.655828241,-0.221857069,0.371662786,-1.362290622,2.225782402,0.990978087,0.310938374,0.194484368,0.776635516,1.673178008,1.027417037,3.541144734,0.738522386,-0.731326618,0.455539635,-0.418708606,1.352222933,-0.229258588,1.344350235,0.106851026,0.212219474,0.657394443,-1.23020105,0.70135235,0.002307522,2.863365859,-1.513064826,-1.472086361,-0.899477188,-1.030125117,-0.173586761
0.183944061,2.489049754,-0.015182375,-0.904603105,0.996949307,0.669872298,-0.221274588,0.38589181,-1.369755771,2.224116837,0.978995874,0.323572571,0.161574534,0.781009724,1.700706319,1.028629399,3.500988266,0.727501638,-0.730071347,0.434382517,-0.421469743,1.35861417,-0.240207505,1.355935036,0.070405766,0.207899056,0.61235583,-1.227539429,0.693762999,0.006928557,2.839054695,-1.481073462,-1.469675686,-0.897530114,-1.032093761,-0.203143052
0.175495699,2.491130572,-0.008149023,-0.858124506,0.983072731,0.68344822,-0.220983347,0.399875506,-1.376972081,2.221826686,0.966821946,0.336206769,0.129070994,0.78554594,1.727862626,1.029639701,3.46122549,0.716664569,-0.728816076,0.413370311,-0.424033656,1.36466302,-0.25098263,1.367519837,0.034588873,0.203578639,0.567491111,-1.224877808,0.686403628,0.011742135,2.814743532,-1.449667306,-1.46706412,-0.895258528,-1.033499935,-0.232347481
0.166904145,2.493022225,-0.001485847,-0.812276839,0.969629798,0.696868096,-0.220400865,0.413736538,-1.383939553,2.21932834,0.954456302,0.348619313,0.096973748,0.790244164,1.754646929,1.030650003,3.421462713,0.706194858,-0.727351592,0.392503017,-0.426597569,1.37059774,-0.261583962,1.378877486,-0.000913837,0.199258221,0.522974181,-1.222216188,0.679274237,0.016555713,2.790432368,-1.418846358,-1.464653445,-0.893149197,-1.03490611,-0.261200051
0.158026206,2.494913878,0.005177329,-0.767060103,0.956186865,0.709819838,-0.220109624,0.427352242,-1.390907025,2.216205407,0.942090658,0.361031858,0.064876502,0.794942388,1.780687224,1.031458244,3.382487318,0.695908826,-0.725887109,0.371780635,-0.42906287,1.376190072,-0.271837709,1.390235134,-0.036102363,0.194937803,0.47880504,-1.219377125,0.672144846,0.021176748,2.766121204,-1.388610617,-1.462242769,-0.890715354,-1.036312284,-0.289876689
0.149148266,2.496805531,0.011840505,-0.722474298,0.942960753,0.722459489,-0.219527143,0.440845282,-1.397625659,2.212874278,0.929437441,0.373444403,0.03318555,0.799802619,1.806355515,1.032266486,3.343511923,0.685806474,-0.724213414,0.351203164,-0.431429558,1.381554146,-0.282091457,1.401592782,-0.070976707,0.190617386,0.434983687,-1.216360622,0.665475416,0.025990326,2.742195932,-1.358960085,-1.459832094,-0.888443768,-1.037155989,-0.318025537
0.139983942,2.498697184,0.018133504,-0.678729734,0.929951463,0.734631005,-0.219235902,0.454092994,-1.404344292,2.208918563,0.916688367,0.385635295,0.001900893,0.804824858,1.831279797,1.033074727,3.304536528,0.6758878,-0.722330507,0.330625693,-0.433697635,1.386575832,-0.29199762,1.412723277,-0.105222683,0.186296968,0.391510122,-1.213344118,0.659035966,0.030611361,2.718656551,-1.32989476,-1.457622308,-0.885847669,-1.037999694,-0.345822525
